job_id,window_idx,shank_id,run_dir,sessions,completed_time,elapsed_time
35,8,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_008\shank_2,"['BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025']",2026-03-29 06:02:55.639664,10:59:36.693137
36,8,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_008\shank_3,"['BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025']",2026-03-29 04:40:49.096759,9:17:42.227580
37,9,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_009\shank_0,"['BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025']",2026-03-29 02:59:26.163219,6:06:50.804426
41,10,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_010\shank_0,"['BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025']",2026-03-29 05:49:08.229151,4:50:07.506055
44,10,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_010\shank_3,"['BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025']",2026-04-20 17:10:39.190945,3:45:38.316358
45,11,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_011\shank_0,"['BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025']",2026-03-29 08:57:13.508514,4:14:32.740327
47,11,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_011\shank_2,"['BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025']",2026-03-29 12:07:56.744419,6:17:22.465898
48,11,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_011\shank_3,"['BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025']",2026-03-29 12:38:44.353034,6:34:24.948806
49,12,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_012\shank_0,"['BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025']",2026-03-29 11:11:16.051241,4:58:37.097996
50,12,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_012\shank_1,"['BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025']",2026-03-29 11:22:16.028922,4:17:17.723732
51,12,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_012\shank_2,"['BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025']",2026-03-29 14:18:59.620828,6:45:50.434364
52,12,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_012\shank_3,"['BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025']",2026-03-29 17:05:29.798372,8:06:50.152442
53,13,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_013\shank_0,"['BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025']",2026-03-29 16:01:45.029311,4:48:55.986756
54,13,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_013\shank_1,"['BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025']",2026-03-29 15:48:17.139433,4:24:55.289523
55,13,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_013\shank_2,"['BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025']",2026-03-29 17:54:17.000929,5:46:13.670088
56,13,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_013\shank_3,"['BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025']",2026-03-29 19:11:37.863648,6:32:36.213845
58,14,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_014\shank_1,"['BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025']",2026-03-29 20:22:12.963635,4:32:28.637451
59,14,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_014\shank_2,"['BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025']",2026-03-29 21:44:18.572237,5:41:25.550488
60,14,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_014\shank_3,"['BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025']",2026-03-30 00:20:24.491064,7:02:51.113588
61,15,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_015\shank_0,"['BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025']",2026-03-30 00:50:50.279930,6:55:22.529214
63,15,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_015\shank_2,"['BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025']",2026-03-30 02:53:49.922189,7:00:47.168072
64,15,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_015\shank_3,"['BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025']",2026-03-30 05:56:31.627885,9:33:40.186295
65,16,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_016\shank_0,"['BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025']",2026-03-30 04:05:37.939996,6:20:03.442954
67,16,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_016\shank_2,"['BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025']",2026-03-30 08:25:38.256419,7:33:25.501714
68,16,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_016\shank_3,"['BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025']",2026-03-30 12:30:23.465615,10:54:25.778320
69,17,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_017\shank_0,"['BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025']",2026-03-30 09:56:43.558962,7:36:13.144851
70,17,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_017\shank_1,"['BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025']",2026-03-30 10:06:49.576901,7:11:36.109058
71,17,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_017\shank_2,"['BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025']",2026-03-30 08:41:20.106092,4:33:56.111210
72,17,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_017\shank_3,"['BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025']",2026-03-30 11:05:45.475873,5:07:27.165866
73,18,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_018\shank_0,"['BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025']",2026-03-30 13:02:13.348358,4:34:41.877470
74,18,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_018\shank_1,"['BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025']",2026-03-30 13:10:59.160701,4:28:04.994755
75,18,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_018\shank_2,"['BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025']",2026-03-30 20:01:27.853464,10:03:21.755292
77,19,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_019\shank_0,"['BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025']",2026-03-30 14:55:51.720821,3:48:49.070452
78,19,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_019\shank_1,"['BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025']",2026-03-30 19:20:02.735989,6:48:15.261487
79,19,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_019\shank_2,"['BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025']",2026-03-30 17:55:56.115047,4:52:26.045802
80,19,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_019\shank_3,"['BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025']",2026-03-31 00:46:02.852882,11:33:30.636329
81,20,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_0,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",2026-03-30 18:59:54.115819,4:02:43.918411
82,20,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_1,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",2026-03-30 22:53:40.638536,6:46:33.539244
83,20,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_2,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",2026-04-21 03:29:24.135340,10:33:39.128315
84,20,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_3,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",2026-04-20 23:11:15.564755,6:00:12.054884
85,21,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_0,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",2026-04-21 03:11:46.747593,8:54:14.637625
86,21,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_1,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",2026-04-21 01:10:08.918006,3:27:19.827106
87,21,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_2,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",2026-04-21 09:22:23.782257,10:36:54.408835
88,21,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_3,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",2026-04-21 12:10:09.295536,13:16:07.762458
89,22,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_0,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",2026-04-21 03:27:50.320913,4:15:50.943833
90,22,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_1,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",2026-04-21 04:00:36.859217,2:50:10.449985
91,22,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_2,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",2026-04-21 14:01:16.338729,10:48:58.040325
92,22,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_3,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",2026-04-21 09:28:08.372032,5:59:43.553463
96,23,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_023\shank_3,"['BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025']",2026-04-21 21:57:56.053255,12:34:16.249622
98,24,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_1,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",2026-04-21 13:13:47.556802,2:40:43.549543
99,24,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_2,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",2026-04-21 22:53:38.295116,10:42:17.725643
100,24,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_3,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",2026-04-22 00:59:28.471686,12:21:46.297713
102,25,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_1,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",2026-04-21 16:07:01.335197,2:52:10.799324
103,25,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_2,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",2026-04-22 00:35:21.270742,10:32:59.494296
105,26,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_0,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",2026-04-22 01:58:01.924592,3:58:56.483175
107,26,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_2,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",2026-04-22 08:33:17.348199,5:00:29.825674
108,26,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_3,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",2026-04-22 09:11:16.518118,5:38:04.650427
109,27,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_027\shank_0,"['BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025', 'BG_046_04092025']",2026-04-22 12:50:34.933909,9:08:50.631538
