panel,region,row_id,decile_median_width,onset_s,n_units
g,DMS,354,,-1.8625000000000005,1
g,DMS,355,,-1.8625000000000005,1
g,DMS,356,,-1.8625000000000005,1
g,DMS,357,,-1.8625000000000005,1
g,DMS,358,,-1.8625000000000005,1
g,DMS,359,,-1.8625000000000005,1
g,DMS,360,,-1.8625000000000005,1
g,DMS,361,,-1.8625000000000005,1
g,DMS,362,,-1.8625000000000005,1
g,DMS,363,,-1.8625000000000005,1
g,DMS,364,,-1.8625000000000005,1
g,DMS,365,,-1.8625000000000005,1
g,DMS,366,,-1.8625000000000005,1
g,DMS,367,,-1.8625000000000005,1
g,DMS,368,,-1.8625000000000005,1
g,DMS,369,,-1.8625000000000005,1
g,DMS,370,,-1.8625000000000005,1
g,DMS,371,,-1.8625000000000005,1
g,DMS,372,,-1.8625000000000005,1
g,DMS,373,,-1.8625000000000005,1
g,DMS,374,,-1.8625000000000005,1
g,DMS,375,,-1.8375000000000006,1
g,DMS,376,,-1.8375000000000006,1
g,DMS,377,,-1.8375000000000006,1
g,DMS,378,,-1.8375000000000006,1
g,DMS,379,,-1.8375000000000006,1
g,DMS,380,,-1.8375000000000006,1
g,DMS,381,,-1.8375000000000006,1
g,DMS,382,,-1.8375000000000006,1
g,DMS,383,,-1.8375000000000006,1
g,DMS,384,,-1.8375000000000006,1
g,DMS,385,,-1.8375000000000006,1
g,DMS,386,,-1.8375000000000006,1
g,DMS,387,,-1.8375000000000006,1
g,DMS,388,,-1.8375000000000006,1
g,DMS,389,,-1.8375000000000006,1
g,DMS,390,,-1.8375000000000006,1
g,DMS,391,,-1.8375000000000006,1
g,DMS,392,,-1.8375000000000006,1
g,DMS,393,,-1.8375000000000006,1
g,DMS,394,,-1.8375000000000006,1
g,DMS,395,,-1.8375000000000006,1
g,DMS,396,,-1.8375000000000006,1
g,DMS,397,,-1.8375000000000006,1
g,DMS,398,,-1.8375000000000006,1
g,DMS,399,,-1.8375000000000006,1
g,DMS,400,,-1.8375000000000006,1
g,DMS,401,,-1.8125000000000007,1
g,DMS,402,,-1.8125000000000007,1
g,DMS,403,,-1.8125000000000007,1
g,DMS,404,,-1.8125000000000007,1
g,DMS,405,,-1.8125000000000007,1
g,DMS,406,,-1.8125000000000007,1
g,DMS,407,,-1.8125000000000007,1
g,DMS,408,,-1.8125000000000007,1
g,DMS,409,,-1.8125000000000007,1
g,DMS,410,,-1.8125000000000007,1
