subject,session,unit,n_fast,n_slow,pulse_fwhm_all,pulse_spread_all
BG_046,BG_046_27082025,368,10494,10412,0.18007560354018332,0.22268008051014362
BG_046,BG_046_19082025,106,12302,12374,0.07443190867627775,0.2437135215703124
BG_046,BG_046_19082025,196,12302,12374,0.06050348124880334,0.22763765528233051
BG_046,BG_046_19082025,231,12302,12374,0.22111946560654944,0.19847446944307562
BG_046,BG_046_19082025,302,12302,12374,0.1453232571871007,0.19421168754414517
BG_046,BG_046_19082025,348,12302,12374,0.16045831936091087,0.25707361121123323
BG_046,BG_046_19082025,429,12302,12374,0.1138413665683275,0.2651081104807883
BG_046,BG_046_19082025,551,12302,12374,0.1623000329907049,0.21005975811498376
BG_046,BG_046_28082025,248,9296,9282,0.09213903599812781,0.257513378554228
BG_046,BG_046_28082025,263,9296,9282,0.09028162529482625,0.23422124904662223
BG_046,BG_046_28082025,283,9296,9282,0.1709752881878004,0.27638097933208805
BG_046,BG_046_28082025,410,9296,9282,0.13047225297387474,0.22348917051499714
BG_046,BG_046_28082025,504,9296,9282,0.08596342568334647,0.21980231950308649
BG_046,BG_046_15092025,123,13457,13769,0.14818310563383108,0.23048942682847331
BG_046,BG_046_15092025,131,13457,13769,0.10824335363304083,0.27493065196976924
BG_046,BG_046_15092025,428,13457,13769,0.11831456155686998,0.24093271249346745
BG_046,BG_046_15092025,441,13457,13769,0.0984542146785915,0.2332313958011542
BG_046,BG_046_15092025,461,13457,13769,0.41747779305911037,0.19939834965037212
BG_046,BG_046_15092025,476,13457,13769,0.06650782343945028,0.28155193741399176
BG_046,BG_046_15092025,517,13457,13769,0.0758079304813779,0.23968892539403974
BG_046,BG_046_15092025,533,13457,13769,0.30341363954663564,0.182894611284693
BG_046,BG_046_15092025,562,13457,13769,0.17939225258681135,0.22920796829070442
BG_046,BG_046_15092025,613,13457,13769,0.2666762459119365,0.20627036178922267
BG_046,BG_046_15092025,617,13457,13769,0.11957818486545047,0.24327346217940823
BG_039,BG_039_08052025,88,13379,13148,0.0756789899633763,0.2776983494939763
BG_039,BG_039_08052025,116,13379,13148,0.13861960403521006,0.2661596062019936
BG_039,BG_039_08052025,140,13379,13148,0.05445827552577645,0.23694892955696764
BG_039,BG_039_08052025,683,13379,13148,0.08492916306705267,0.22040226680298858
BG_046,BG_046_15082025,13,12434,12478,0.13758298727643026,0.23635662167962498
BG_046,BG_046_15082025,14,12434,12478,0.03590825587760538,0.26307681425891594
BG_046,BG_046_15082025,76,12434,12478,0.08025032740526886,0.2134513804849586
BG_046,BG_046_15082025,187,12434,12478,0.057450263079867114,0.29627448872781553
BG_046,BG_046_15082025,231,12434,12478,0.16473192447813334,0.2446858699185398
BG_046,BG_046_15082025,237,12434,12478,0.06068057675508069,0.2619226603073641
BG_046,BG_046_15082025,311,12434,12478,0.06316565206469366,0.2717994121102456
BG_046,BG_046_15082025,343,12434,12478,0.15315801497770734,0.22811370388629454
BG_046,BG_046_15082025,416,12434,12478,0.24558584391078248,0.20956765165206406
BG_046,BG_046_15082025,450,12434,12478,0.07597775374952315,0.24289165800547777
BG_046,BG_046_15082025,504,12434,12478,0.1604701596814753,0.22845529137953743
BG_046,BG_046_15082025,516,12434,12478,0.3245704133375994,0.2068972775778611
BG_046,BG_046_15082025,525,12434,12478,0.10324757329967643,0.24644006862400056
BG_046,BG_046_15082025,527,12434,12478,0.10797393085073148,0.2729435982024546
BG_039,BG_039_12052025,237,14598,14814,0.10311899673902514,0.1923792509806537
BG_039,BG_039_12052025,941,14598,14814,0.08212099196555311,0.22460758555049476
BG_046,BG_046_16092025,315,11249,11515,0.11053149768489712,0.23716982554378807
BG_046,BG_046_16092025,372,11249,11515,0.0806485490210433,0.24262322645210885
BG_046,BG_046_16092025,376,11249,11515,0.08600213184379973,0.25892652334063915
BG_046,BG_046_16092025,393,11249,11515,0.07627589197646376,0.250588624078374
BG_046,BG_046_16092025,406,11249,11515,0.08540067403453877,0.21099676904601952
BG_046,BG_046_16092025,501,11249,11515,0.1122368681676334,0.21661240677676255
BG_046,BG_046_16092025,506,11249,11515,0.07166179393329869,0.3002258666920546
BG_046,BG_046_16092025,535,11249,11515,0.11595926451338379,0.2262990977697653
BG_046,BG_046_16092025,599,11249,11515,0.1581852837031259,0.23064437020414574
BG_046,BG_046_16092025,610,11249,11515,0.09900624002546693,0.25471901626354915
BG_046,BG_046_16092025,615,11249,11515,0.06045096260893418,0.24809022148287752
BG_039,BG_039_02042025,66,19934,20288,0.07334487124998079,0.21200212921545658
BG_039,BG_039_02042025,671,19934,20288,0.14993992532288852,0.23853750200628582
BG_046,BG_046_29082025,88,10803,11004,0.21214045077209917,0.18518011533497822
BG_046,BG_046_29082025,273,10803,11004,0.06293176715121923,0.22268982198475173
BG_046,BG_046_29082025,322,10803,11004,0.1666632192668555,0.2840883950643818
BG_046,BG_046_29082025,357,10803,11004,0.1294024125077879,0.25565015195511587
BG_046,BG_046_29082025,367,10803,11004,0.08358851344395479,0.2908361056511472
BG_046,BG_046_29082025,456,10803,11004,0.06113835758564756,0.19460692680238148
BG_046,BG_046_29082025,523,10803,11004,0.07928100812464434,0.2379650245174177
BG_046,BG_046_29082025,562,10803,11004,0.08388774530687361,0.23737476809179875
BG_031,BG_031_050325,305,8387,8176,0.12174274632330692,0.23055487613802433
BG_031,BG_031_050325,610,8387,8176,0.17609787418577066,0.22171986280871206
BG_039,BG_039_22052025,296,14802,14935,0.23764161534469294,0.24201225970876644
BG_039,BG_039_22052025,658,14802,14935,0.2156330852014003,0.2604919441442395
BG_039,BG_039_14052025,933,19816,19981,0.13260354989614898,0.244405569847632
BG_039,BG_039_14052025,1005,19816,19981,0.18710124344998813,0.25586177950636285
BG_039,BG_039_20052025,189,13514,13716,0.13801947135813958,0.23066093423346254
BG_039,BG_039_20052025,440,13514,13716,0.08053588186341343,0.23556992761153916
BG_039,BG_039_20052025,790,13514,13716,0.07037080035192578,0.260253990294239
BG_039,BG_039_16052025,129,15142,15192,0.0924566260164093,0.2174851592519079
BG_039,BG_039_16052025,201,15142,15192,0.12035794955361934,0.23777099318826256
BG_039,BG_039_16052025,225,15142,15192,0.1726274259936148,0.22501633674044547
BG_039,BG_039_16052025,226,15142,15192,0.3179284664717634,0.1516395655978297
BG_039,BG_039_16052025,369,15142,15192,0.046949204363918806,0.25668281197596576
BG_039,BG_039_16052025,848,15142,15192,0.07934364632487773,0.25588043403879873
BG_039,BG_039_16052025,856,15142,15192,0.05618108505182695,0.2706722423709312
BG_039,BG_039_16052025,895,15142,15192,0.07002221954689342,0.18314517490024834
BG_039,BG_039_16052025,948,15142,15192,0.26396884607882987,0.2064862996245011
BG_039,BG_039_15042025,267,18462,18509,0.07647044506665945,0.2367995792799793
BG_039,BG_039_15042025,782,18462,18509,0.14525687535699655,0.2485140773987747
BG_039,BG_039_16042025,93,18274,18343,0.0886484094991506,0.24861838190836885
BG_039,BG_039_16042025,661,18274,18343,0.19652355740649696,0.23923054161145127
BG_039,BG_039_16042025,761,18274,18343,0.27294105603073204,0.21602808542193877
BG_039,BG_039_16042025,770,18274,18343,0.0539424710452002,0.2369360388162341
BG_046,BG_046_17092025,20,14874,15109,0.0891795840408462,0.20860493592571797
BG_046,BG_046_17092025,75,14874,15109,0.053716437643913276,0.25015645762748645
BG_046,BG_046_17092025,86,14874,15109,0.1404886662074164,0.23766095264360548
BG_046,BG_046_17092025,232,14874,15109,0.07957441645113861,0.25184527958097064
BG_046,BG_046_17092025,261,14874,15109,0.07066038734057269,0.2568422223928039
BG_046,BG_046_17092025,273,14874,15109,0.08116206046801244,0.2671564112287364
BG_046,BG_046_17092025,413,14874,15109,0.1281927326616933,0.24452242724795406
BG_046,BG_046_17092025,425,14874,15109,0.10404872701244486,0.22036592021438434
BG_046,BG_046_17092025,482,14874,15109,0.29721638886711266,0.2640701227391904
BG_046,BG_046_17092025,530,14874,15109,0.21088168088160264,0.22684093572314254
BG_046,BG_046_17092025,532,14874,15109,0.2934633548851473,0.2686084168782556
BG_046,BG_046_17092025,550,14874,15109,0.12679100534670484,0.22253471236812566
BG_046,BG_046_17092025,551,14874,15109,0.10037976836231599,0.2717337724912425
BG_046,BG_046_17092025,561,14874,15109,0.3002711415077832,0.2329656259636834
BG_046,BG_046_17092025,612,14874,15109,0.29193441725237335,0.23236550604597145
BG_046,BG_046_17092025,616,14874,15109,0.23912838092513244,0.24395835248024217
BG_046,BG_046_17092025,650,14874,15109,0.1041980821251487,0.25721529079713823
BG_031,BG_031_12052025,6,11381,11661,0.07245891705627634,0.2204164486910886
BG_031,BG_031_12052025,32,11381,11661,0.11433582327188063,0.2436923788637485
BG_031,BG_031_12052025,39,11381,11661,0.07396801648893747,0.260767127811971
BG_031,BG_031_12052025,50,11381,11661,0.027918559180867178,0.2724292382831955
BG_031,BG_031_12052025,103,11381,11661,0.06797889292009074,0.273953965714724
BG_031,BG_031_12052025,327,11381,11661,0.0715836006230727,0.2500996140643193
BG_031,BG_031_12052025,398,11381,11661,0.10355945523728477,0.220046063070114
BG_031,BG_031_12052025,416,11381,11661,0.1206813020783134,0.1877310647134677
BG_031,BG_031_12052025,442,11381,11661,0.12927275757876214,0.1526924221737994
BG_031,BG_031_12052025,522,11381,11661,0.22173315983407188,0.20730195156186523
BG_031,BG_031_12052025,527,11381,11661,0.18499600045016706,0.2409127094847874
BG_031,BG_031_110325,34,17698,17815,0.16502400369904113,0.23620077518195515
BG_031,BG_031_110325,376,17698,17815,0.07494152523483832,0.2003368504463772
BG_031,BG_031_110325,438,17698,17815,0.16370231420293108,0.23461710381033254
BG_031,BG_031_110325,496,17698,17815,0.09055523400802823,0.2725452680408895
BG_031,BG_031_110325,518,17698,17815,0.07154970509406389,0.2496441352156314
BG_031,BG_031_100325,58,18352,18318,0.1137183503541764,0.21576371058948018
BG_031,BG_031_100325,75,18352,18318,0.18251803623435803,0.25537803602758496
BG_031,BG_031_100325,113,18352,18318,0.0607298347157848,0.24127649154763803
BG_031,BG_031_100325,380,18352,18318,0.07697595349336306,0.21587644738569142
BG_031,BG_031_100325,426,18352,18318,0.0865672027114387,0.2453366768562012
BG_031,BG_031_100325,556,18352,18318,0.06497116262278224,0.22324488144998872
BG_031,BG_031_130325,221,26523,26430,0.06956429202461661,0.19598342742934743
BG_031,BG_031_130325,277,26523,26430,0.07251376526607095,0.25910954328550084
BG_031,BG_031_130325,404,26523,26430,0.054030216251584884,0.2073106055260134
BG_031,BG_031_130325,441,26523,26430,0.05898588246716924,0.21218028185940402
BG_031,BG_031_130325,617,26523,26430,0.0990409378256503,0.24402061697537605
BG_031,BG_031_140325,70,19673,19618,0.07633282957990592,0.2425125948119579
BG_031,BG_031_140325,249,19673,19618,0.056920960081091446,0.23856723335184282
BG_031,BG_031_140325,285,19673,19618,0.10281092831647476,0.2627198737812385
BG_031,BG_031_140325,295,19673,19618,0.053657606194752905,0.21733970519691553
BG_031,BG_031_140325,379,19673,19618,0.15456595235809706,0.24688810729234892
BG_031,BG_031_070325,170,16068,16301,0.08446013753975107,0.22546903983579383
BG_031,BG_031_070325,243,16068,16301,0.2455119126491246,0.18495800549549093
BG_031,BG_031_070325,394,16068,16301,0.09876481445681395,0.27049016276603777
BG_031,BG_031_070325,430,16068,16301,0.10912675625193262,0.22557382061751582
BG_031,BG_031_070325,497,16068,16301,0.07437068864535551,0.23746772216226383
