subject,sid,n_units,support,n_fa_licks,theta_full,theta_resp,null_mu,null_sd,dev_from_null,fa_rate_behav,d_prime,stage
BG_046,04082025,220,5,81.0,88.13114979813429,72.0292212833594,87.33176952230352,2.154744139610741,0.7993802758307709,0.4263157894736842,1.2891317527506638,Learning
BG_046,08092025,198,7,261.0,85.36845900895403,68.41296015013171,87.17357066826595,2.4199116719002864,-1.805111659311919,0.47889908256880737,1.7504845713666852,Expert
BG_046,09092025,223,5,155.0,85.05357576814133,65.42024451352998,86.5157436356174,2.7620774136539925,-1.4621678674760687,0.3304904051172708,1.706762821382085,Expert
BG_046,10092025,227,5,125.0,83.7623730314455,28.83939266054913,86.15030906791144,3.0647157146739197,-2.3879360364659306,0.249500998003992,1.3132829400332435,Expert
BG_046,11092025,231,3,155.0,81.681032474109,24.970210632422425,86.92319858316071,2.2872508390868025,-5.242166109051709,0.3399122807017544,1.56158920566883,Expert
BG_046,12082025,202,1,196.0,89.29342859583748,,,,,0.4041237113402062,1.1937676503913437,Learning
BG_046,12092025,225,3,74.0,87.74833240910084,49.084672459590664,87.15266831919025,2.788347881353423,0.595664089910585,0.18407960199004975,1.7189628495584974,Expert
BG_046,13082025,232,2,169.0,87.98580173887228,74.06603395923399,87.04265100117964,2.3793419282155814,0.9431507376926476,0.3603411513859275,0.8556917094443589,Learning
BG_046,14082025,226,4,601.0,81.14726633445082,29.88913478140449,86.08757211267674,2.9804536465387987,-4.94030577822592,0.6730123180291153,1.0838653101587643,Learning
BG_046,15082025,215,14,308.0,85.34327547459927,81.95731671376247,86.82647452836301,2.6125647476201257,-1.483199053763741,0.5651376146788991,1.397777347845332,Learning
BG_046,15092025,256,11,232.0,70.20579615490047,53.42080260351595,87.29092191923617,2.268256448764403,-17.0851257643357,0.44874274661508706,1.6809203734484752,Expert
BG_046,16092025,237,11,164.0,77.88349559523343,62.815578377049036,87.09368078953284,2.1905730920890614,-9.210185194299413,0.42159383033419023,1.933496543649807,Expert
BG_046,17092025,264,17,263.0,59.675148410935314,39.17461737824008,84.7410388438947,2.891149461058374,-25.065890432959385,0.4558058925476603,1.6947287762667451,Expert
BG_046,18082025,238,7,310.0,87.92371097888622,76.78624610391114,87.00106302609917,2.351738461053672,0.9226479527870453,0.6858407079646017,1.6576394584761402,Learning
BG_046,19082025,256,7,188.0,89.90452111127739,89.47261240499363,87.3390564586439,2.0542109522202714,2.5654646526334943,0.428246013667426,1.5494934835241656,Learning
BG_046,20082025,229,3,154.0,89.41197183275938,80.73227543560867,87.08246328549885,2.231357191979525,2.329508547260531,0.41847826086956524,1.5499695066718229,Expert
BG_046,21072025,96,3,222.0,82.70936421790468,47.5300213947198,85.41965837656818,3.6364301027714494,-2.710294158663501,0.6253521126760564,0.9434275404128688,Learning
BG_046,24072025,101,0,127.0,,,,,,0.4810606060606061,0.955324704625698,Learning
BG_046,25062025,37,0,441.0,,,,,,0.765625,0.9779064183761476,Naive
BG_046,25072025,78,3,135.0,83.3778452175778,60.69988565261543,85.55070961472923,4.327655575622414,-2.1728643971514288,0.29411764705882354,1.4195384713076742,Learning
BG_046,26082025,146,2,107.0,89.41150271903349,80.47884900487928,86.65658773237885,2.689477007664542,2.75491498665464,0.44398340248962653,1.985815616390646,Expert
BG_046,27062025,58,0,338.0,,,,,,0.6259259259259259,1.1078693836224265,Naive
BG_046,27082025,112,5,205.0,86.75477712183654,83.87133615167419,86.30608904853727,3.286362843893014,0.44868807329926597,0.4975728155339806,1.730244029828366,Expert
BG_046,28082025,87,5,289.0,80.87967305178965,42.63812682357673,84.10996504666359,4.237503026138971,-3.2302919948739373,0.6465324384787472,1.5248295513160208,Expert
BG_046,29082025,68,8,246.0,64.98841276505335,36.91702976163211,80.66411020116556,4.950027889922267,-15.675697436112202,0.5418502202643172,1.6925986595614464,Expert
