subject,region,session,unit,kernel_peak_t,c1_r,n_spikes,base_hz,change_on,hit_ramp,fa_ramp,n_hit,n_fa
BG_039,DMS,BG_039_15042025,267,0.9,0.2204089842299673,65992.0,2.2675736961451247,0.33560090702947853,7.488536155202821,4.233333333333333,189,85
BG_039,DMS,BG_039_15042025,782,0.5,0.2364236774725238,207378.0,18.155706727135296,-0.08163265306122369,28.40564373897708,13.522222222222222,189,85
BG_039,DMS,BG_039_16042025,93,1.25,0.2455568745596295,91455.0,3.283935981031416,0.6662714878482521,8.315352697095436,6.948453608247424,241,136
BG_039,DMS,BG_039_16042025,661,0.25,0.2399954688005947,59069.0,5.809128630705393,0.18257261410788495,0.7109266943291841,0.8659793814433003,241,136
BG_039,DMS,BG_039_16042025,761,0.45,0.4049221463928514,230761.0,20.770598695909896,1.4368701837581526,27.49930843706778,19.085910652920962,241,136
BG_039,DMS,BG_039_16042025,770,0.2,0.3574153720890939,80355.0,8.026081802015412,1.4676941315945466,4.990318118948826,-0.39862542955326496,241,136
BG_039,DMS,BG_039_16052025,129,0.35,0.214752418181393,45069.0,4.4769403824521925,-0.5871766029246333,7.900262467191602,5.6927536231884055,254,159
BG_039,DMS,BG_039_16052025,201,1.4500000000000002,0.2383805533593915,164869.0,15.410573678290213,-0.08773903262092198,6.706036745406829,4.110144927536233,254,159
BG_039,DMS,BG_039_16052025,225,0.4,0.2586507047650438,5537.0,0.7199100112485939,0.27221597300337463,5.950131233595801,3.971014492753624,254,159
BG_039,DMS,BG_039_16052025,226,0.2,0.7543531298723408,44080.0,7.154105736782901,2.940382452193477,9.677165354330711,3.269565217391305,254,159
BG_039,DMS,BG_039_16052025,369,0.4,0.4977993417286595,12772.0,1.2035995500562429,0.26096737907761547,7.703412073490815,4.133333333333333,254,159
BG_039,DMS,BG_039_16052025,848,0.5,0.2055702856293631,7451.0,0.9786276715410573,-0.17547806524184473,0.06036745406824151,0.5797101449275365,254,159
BG_039,DMS,BG_039_16052025,856,0.55,0.2798731026562053,5926.0,0.93363329583802,-0.1777277840269964,-0.03149606299212593,0.39999999999999997,254,159
BG_039,DMS,BG_039_16052025,895,0.6000000000000001,0.2917629474561248,14170.0,2.5309336332958376,0.03599550056242995,-1.648293963254593,-2.3014492753623186,254,159
BG_039,DMS,BG_039_16052025,948,0.3,0.3738202848522441,68357.0,8.650168728908886,2.2947131608548936,20.225721784776905,16.20289855072464,254,159
BG_039,DMS,BG_039_20052025,189,0.25,0.2352002558235273,55876.0,7.186147186147185,1.2582972582972598,-1.629629629629627,-1.0476190476190474,99,53
BG_039,DMS,BG_039_20052025,440,0.7000000000000001,0.2424739568294914,83984.0,7.763347763347763,2.1760461760461762,8.45117845117845,2.8952380952380965,99,53
BG_039,DMS,BG_039_20052025,790,0.65,0.2246954718401377,119108.0,14.68975468975469,1.8354978354978364,2.875420875420872,-0.7047619047619058,99,53
BG_039,DMS,BG_039_22052025,296,0.25,0.2140975053998354,5017.0,0.5465838509316769,0.06211180124223614,0.06666666666666687,0.27350427350427353,230,94
BG_039,DMS,BG_039_22052025,658,0.4,0.2104366397248853,107528.0,12.111801242236023,-0.45962732919254456,-0.2434782608695656,0.18803418803418914,230,94
BG_031,VMS,BG_031_01052025,3,0.2,0.2111357937674077,126570.0,13.84366576819407,-0.03234501347708907,4.2540880503144685,1.6111111111111125,265,58
BG_031,VMS,BG_031_01052025,29,0.6000000000000001,0.2003596967790523,207679.0,21.47708894878706,2.341778975741242,7.881761006289306,7.0,265,58
BG_031,VMS,BG_031_01052025,43,0.35,0.2416935284123431,164099.0,14.73854447439353,0.95956873315364,9.891823899371067,7.499999999999998,265,58
BG_031,VMS,BG_031_01052025,61,0.35,0.2485004074874877,429544.0,44.40970350404312,1.069541778975747,11.401257861635223,18.666666666666664,265,58
BG_031,VMS,BG_031_01052025,74,0.35,0.276529285620743,256575.0,27.91374663072776,1.0673854447439375,28.083018867924526,21.194444444444446,265,58
BG_031,VMS,BG_031_01052025,83,0.2,0.3013296431621688,158722.0,15.40700808625337,0.562803234501347,-0.6968553459119473,4.083333333333334,265,58
BG_031,VMS,BG_031_01052025,96,0.15,0.3143805455933565,70009.0,7.2668463611859835,1.6840970350404323,5.632704402515724,4.208333333333333,265,58
BG_031,VMS,BG_031_01052025,114,0.55,0.3237751082049064,41891.0,4.840970350404312,-0.5239892183288406,-1.3660377358490567,-1.2638888888888893,265,58
BG_031,VMS,BG_031_01052025,167,0.25,0.3009747092012155,206096.0,20.36657681940701,2.0938005390835563,17.620125786163527,24.652777777777782,265,58
BG_031,VMS,BG_031_01052025,192,0.15,0.2861634935386801,249035.0,23.849056603773583,0.39245283018868093,7.1849056603773604,7.388888888888889,265,58
BG_031,VMS,BG_031_01052025,240,0.15,0.2654517737511919,21195.0,2.1563342318059298,0.0021563342318060563,-0.08301886792452806,-0.05555555555555536,265,58
BG_031,VMS,BG_031_01052025,347,0.05,0.20375114634977,115363.0,12.021563342318057,0.9293800539083588,7.69308176100629,7.069444444444446,265,58
BG_031,VMS,BG_031_01052025,373,0.55,0.207988790348898,19413.0,1.9083557951482477,-0.5196765498652289,-0.7622641509433963,-0.02777777777777768,265,58
BG_031,VMS,BG_031_01052025,417,0.3,0.2023396660761685,123759.0,14.619946091644204,0.6706199460916444,1.4641509433962252,3.388888888888891,265,58
BG_031,VMS,BG_031_01052025,506,0.45,0.3754114005918491,109627.0,9.520215633423177,1.8156334231805964,11.255345911949687,13.138888888888893,265,58
BG_031,VMS,BG_031_01052025,508,0.3,0.3542353900451888,91419.0,14.177897574123989,-0.10997304582210177,3.549685534591198,3.1805555555555554,265,58
BG_031,VMS,BG_031_01052025,536,0.4,0.2172141210202116,84480.0,9.358490566037736,0.36226415094339615,3.1874213836477985,0.9166666666666661,265,58
BG_031,VMS,BG_031_01052025,609,0.3,0.2558845365885925,71168.0,8.91644204851752,-2.2296495956873317,-3.3811320754716983,-4.694444444444444,265,58
BG_031,VMS,BG_031_02042025,18,0.3,0.3072419861484857,180286.0,16.806722689075627,0.7462184873949624,2.7058823529411775,1.2450980392156872,255,306
BG_031,VMS,BG_031_02042025,79,0.2,0.2281616486937838,124787.0,12.089635854341736,-0.7014005602240889,-1.9869281045751617,0.014705882352942012,255,306
BG_031,VMS,BG_031_02042025,80,0.2,0.5432055372670549,175212.0,15.540616246498598,-1.4229691876750685,-2.3320261437908503,0.6372549019607874,255,306
BG_031,VMS,BG_031_02042025,92,0.25,0.3182560278283585,147909.0,12.638655462184873,2.29467787114846,4.386928104575166,2.245098039215689,255,306
BG_031,VMS,BG_031_02042025,157,0.6000000000000001,0.3618694606115294,395250.0,32.11204481792716,3.49579831932774,3.252287581699342,2.32352941176471,255,306
BG_031,VMS,BG_031_02042025,269,0.25,0.3143346906172559,237415.0,21.23249299719888,2.892997198879552,8.873202614379089,10.475490196078436,255,306
BG_031,VMS,BG_031_02042025,312,0.35,0.3756941180660355,99454.0,10.834733893557422,1.7142857142857153,6.993464052287585,4.975490196078434,255,306
BG_031,VMS,BG_031_02042025,327,0.25,0.3086734353100043,226697.0,20.5266106442577,-0.6521008403361321,-3.8405228758169905,-4.3578431372549,255,306
BG_031,VMS,BG_031_02042025,388,0.2,0.4390028531248797,13720.0,1.7815126050420165,0.7910364145658269,2.169934640522876,0.6740196078431375,255,306
BG_031,VMS,BG_031_02042025,417,0.5,0.3818565063826503,438894.0,35.081232492997195,4.244257703081239,13.367320261437918,13.034313725490197,255,306
BG_031,VMS,BG_031_02042025,425,0.4,0.2924294090341336,259373.0,22.621848739495793,2.6330532212885203,3.3045751633986953,2.274509803921564,255,306
BG_031,VMS,BG_031_02042025,461,0.4,0.2882161151415233,226323.0,23.787114845938373,-1.7792717086834706,-0.3581699346405216,0.06127450980391913,255,306
BG_031,VMS,BG_031_02042025,524,0.25,0.3778218301023876,176879.0,13.725490196078429,0.5490196078431406,3.665359477124184,3.2205882352941178,255,306
BG_031,VMS,BG_031_02042025,525,0.5,0.2646057385628655,327010.0,28.571428571428566,-1.4969187675069975,-6.58300653594771,-9.656862745098035,255,306
BG_031,VMS,BG_031_050325,305,0.5,0.2039969045337539,25980.0,8.048289738430583,-0.7243460764587519,0.4319248826291071,-3.153846153846154,71,44
BG_031,VMS,BG_031_050325,610,0.4,0.2067358357348943,20995.0,4.788732394366196,0.45070422535211385,1.530516431924883,0.5897435897435903,71,44
BG_031,VMS,BG_031_070325,170,0.25,0.4533552011916575,211731.0,18.050734312416555,1.5380507343124172,6.563862928348911,4.057613168724277,214,603
BG_031,VMS,BG_031_070325,243,0.0,0.3674578020294523,495809.0,45.70093457943924,2.2803738317757123,8.626168224299072,9.453497942386825,214,603
BG_031,VMS,BG_031_070325,394,0.5,0.2389767511120746,103367.0,9.866488651535379,-1.0253671562082758,-2.3676012461059184,-2.023045267489712,214,603
BG_031,VMS,BG_031_070325,430,0.15,0.2704960940581223,215311.0,17.583444592790386,2.2483311081441926,5.666666666666664,0.30617283950617136,214,603
BG_031,VMS,BG_031_070325,497,0.4,0.3807443038100019,244362.0,21.81575433911883,-0.8437917222963982,0.6542056074766371,-0.7687242798353893,214,603
BG_031,VMS,BG_031_070325,500,0.0,0.2247819131798265,22243.0,2.002670226969292,0.4085447263017361,0.03738317757009346,-0.03456790123456743,214,603
BG_031,VMS,BG_031_08042025,51,0.55,0.2718426631767781,164013.0,14.241758241758243,3.9428571428571413,3.348717948717951,4.081095313322802,130,894
BG_031,VMS,BG_031_08042025,74,0.2,0.4065284332193948,180870.0,13.296703296703296,-1.358241758241757,0.9846153846153847,0.28646656134807813,130,894
BG_031,VMS,BG_031_08042025,94,0.7000000000000001,0.5838863368168014,171756.0,11.802197802197801,3.0901098901098916,3.3179487179487186,3.6292785676671944,130,894
BG_031,VMS,BG_031_08042025,111,0.45,0.4953927838919306,198328.0,17.098901098901095,5.054945054945058,3.3128205128205153,3.5587151132174846,130,894
BG_031,VMS,BG_031_08042025,148,0.0,0.3776901087290923,222349.0,17.736263736263734,-0.659340659340657,-0.8974358974358978,-0.7814639283833564,130,894
BG_031,VMS,BG_031_08042025,203,0.7000000000000001,0.2928180182096666,171540.0,14.571428571428571,0.44395604395604416,2.68717948717949,2.2032648762506586,130,894
BG_031,VMS,BG_031_08042025,217,0.45,0.2132035133094242,130247.0,11.340659340659338,0.93626373626374,4.333333333333334,0.9636650868878345,130,894
BG_031,VMS,BG_031_08042025,239,0.15,0.6641678501236108,180095.0,14.967032967032964,3.432967032967035,3.420512820512821,2.0863612427593505,130,894
BG_031,VMS,BG_031_08042025,261,1.2000000000000002,0.3274697274306911,162257.0,13.47252747252747,0.8659340659340682,0.9641025641025642,0.9078462348604539,130,894
BG_031,VMS,BG_031_08042025,316,0.6000000000000001,0.2701961653335866,70417.0,6.021978021978021,-0.11428571428571299,1.0820512820512826,1.3417588204318074,130,894
BG_031,VMS,BG_031_08042025,360,0.3,0.2802520780149534,219656.0,20.285714285714285,2.0527472527472526,6.492307692307691,2.0674038967877877,130,894
BG_031,VMS,BG_031_08042025,427,0.6000000000000001,0.2489136516735546,241507.0,19.208791208791208,3.4373626373626394,0.7128205128205174,4.71195365982096,130,894
BG_031,VMS,BG_031_08042025,438,0.2,0.2009932881740465,26525.0,1.3186813186813187,-0.5802197802197802,-0.9076923076923076,-0.3854660347551344,130,894
BG_031,VMS,BG_031_08042025,498,1.0,0.3237649152709124,136778.0,14.65934065934066,0.8175824175824165,-0.651282051282049,0.20431806213796833,130,894
BG_031,VMS,BG_031_09042025,35,0.2,0.295961735462691,321426.0,29.798224374495557,2.9249394673123525,4.719397363465163,2.570105820105823,177,628
BG_031,VMS,BG_031_09042025,37,0.55,0.3684106224647213,79545.0,8.135593220338981,0.9039548022598893,1.634651600753295,0.5820105820105823,177,628
BG_031,VMS,BG_031_09042025,73,0.45,0.3411644977840046,242787.0,25.37530266343825,0.3196125907990357,5.732580037664782,6.985449735449738,177,628
BG_031,VMS,BG_031_09042025,74,1.4500000000000002,0.2447843587328583,186858.0,17.14285714285714,1.1396287328490757,0.5047080979284395,0.09391534391534506,177,628
BG_031,VMS,BG_031_09042025,113,0.45,0.6114545908504085,81117.0,6.408393866020984,2.6085552865213897,-0.6064030131826739,0.6309523809523823,177,628
BG_031,VMS,BG_031_09042025,125,0.3,0.4978064582952104,137128.0,12.058111380145277,6.179176755447944,4.259887005649716,5.555555555555557,177,628
BG_031,VMS,BG_031_09042025,155,0.15,0.4649632959230073,203773.0,17.853107344632765,2.9152542372881385,0.9868173258003772,0.472222222222225,177,628
BG_031,VMS,BG_031_09042025,187,0.2,0.2645297039088896,179801.0,16.01291364003228,2.3599677158999235,2.3276836158192076,3.411375661375658,177,628
BG_031,VMS,BG_031_09042025,266,0.3,0.2758905513502817,5624.0,0.7102502017756253,-0.0774818401937043,-0.1694915254237288,-0.12037037037037035,177,628
BG_031,VMS,BG_031_09042025,365,0.2,0.5097261370494143,11413.0,1.7917675544794187,0.6941081517352707,2.16195856873823,0.5502645502645502,177,628
BG_031,VMS,BG_031_09042025,376,0.5,0.3331949811885293,67341.0,8.167877320419693,1.594834543987087,3.178907721280602,1.9523809523809526,177,628
BG_031,VMS,BG_031_09042025,423,0.15,0.5046068500092068,154846.0,14.995964487489909,3.2639225181598075,6.7909604519774,2.3439153439153415,177,628
BG_031,VMS,BG_031_09052025,8,0.7000000000000001,0.2364552966242953,129149.0,16.995073891625612,-1.8916256157635427,1.0804597701149419,1.744791666666666,116,475
BG_031,VMS,BG_031_09052025,19,0.55,0.2474697340584804,137424.0,15.24630541871921,4.270935960591135,1.0689655172413772,0.08854166666666785,116,475
BG_031,VMS,BG_031_09052025,27,0.3,0.3535902733217423,52834.0,7.192118226600986,1.7733990147783238,1.626436781609196,2.281250000000001,116,475
BG_031,VMS,BG_031_09052025,40,0.35,0.386610241800338,169860.0,20.763546798029548,3.891625615763555,2.936781609195407,2.649305555555557,116,475
BG_031,VMS,BG_031_09052025,66,0.3,0.4445351758602684,241599.0,33.07881773399015,3.334975369458128,9.258620689655164,12.979166666666668,116,475
BG_031,VMS,BG_031_09052025,84,0.05,0.3315766632286453,69763.0,8.52216748768473,0.5123152709359609,1.614942528735634,2.145833333333335,116,475
BG_031,VMS,BG_031_09052025,88,1.1,0.2670145027384363,200423.0,24.778325123152705,-0.6059113300492562,2.2241379310344875,-0.05208333333333215,116,475
BG_031,VMS,BG_031_09052025,108,0.15,0.4783423816252694,172460.0,22.783251231527093,3.0098522167487687,9.448275862068964,-0.7256944444444429,116,475
BG_031,VMS,BG_031_09052025,131,0.2,0.2510774809275228,87532.0,11.798029556650247,3.0640394088669947,4.0632183908045985,3.1944444444444446,116,475
BG_031,VMS,BG_031_09052025,148,0.0,0.2767816481005239,248566.0,32.463054187192114,-1.73891625615763,3.1436781609195457,2.215277777777782,116,475
BG_031,VMS,BG_031_09052025,177,0.35,0.4261053416153494,132219.0,23.004926108374384,2.236453201970445,9.402298850574716,11.727430555555554,116,475
BG_031,VMS,BG_031_09052025,368,0.2,0.5267261931508618,6414.0,1.4532019704433499,1.3399014778325122,2.471264367816092,1.2083333333333335,116,475
BG_031,VMS,BG_031_09052025,415,0.3,0.249265716553176,65648.0,7.9064039408866975,-0.4581280788177322,-0.2643678160919549,0.7465277777777777,116,475
BG_031,VMS,BG_031_09052025,425,0.3,0.4114268892698611,93480.0,19.67980295566502,2.9408866995073915,9.500000000000004,12.086805555555554,116,475
BG_031,VMS,BG_031_09052025,452,0.65,0.2941599019270181,60272.0,6.625615763546797,-0.21182266009852135,1.0229885057471266,2.520833333333334,116,475
BG_031,VMS,BG_031_09052025,473,0.8,0.2467527032097443,127555.0,16.25615763546798,0.8817733990147794,2.5229885057471275,0.9982638888888893,116,475
BG_031,VMS,BG_031_09052025,479,0.4,0.2363405505137971,142028.0,18.07881773399015,-0.49261083743842704,0.1666666666666643,2.65625,116,475
BG_031,VMS,BG_031_09052025,482,0.45,0.2406145591835888,25580.0,3.719211822660098,-0.47783251231527046,-0.7988505747126426,-1.7447916666666665,116,475
BG_031,VMS,BG_031_09052025,531,0.2,0.2626003303484164,94166.0,12.093596059113302,0.2857142857142829,0.20114942528735824,-0.23611111111110894,116,475
BG_031,VMS,BG_031_100325,58,0.2,0.2543782409727112,142655.0,12.687880839539606,0.6580907244414362,-0.48341232227488007,-1.168124392614187,211,473
BG_031,VMS,BG_031_100325,75,0.6000000000000001,0.2126683630363208,24163.0,0.9614082599864591,-0.3168584969532837,-0.2180094786729858,-0.8046647230320699,211,473
BG_031,VMS,BG_031_100325,113,0.4,0.2894802917241795,94656.0,9.803656059580229,1.684495599187544,5.766192733017379,2.886297376093294,211,473
BG_031,VMS,BG_031_100325,380,0.65,0.2421419218182554,41022.0,2.4238320920785372,1.1591062965470553,1.1563981042654028,0.6258503401360547,211,473
BG_031,VMS,BG_031_100325,426,0.55,0.2343376888808182,12425.0,1.0155721056194988,0.1597833446174679,0.2022116903633493,0.029154518950437636,211,473
BG_031,VMS,BG_031_100325,556,0.55,0.4170334971399182,77722.0,7.935003385240351,3.4583615436696027,5.712480252764616,6.2468415937803705,211,473
BG_031,VMS,BG_031_110325,34,0.4,0.3636367522919593,104820.0,11.316770186335404,0.12670807453416089,7.272463768115941,8.93270735524257,230,284
BG_031,VMS,BG_031_110325,376,0.05,0.3369042525116444,153436.0,15.527950310559007,2.159006211180124,7.182608695652172,2.7824726134585234,230,284
BG_031,VMS,BG_031_110325,438,0.25,0.2102828808685112,194814.0,18.322981366459626,-0.20124223602484292,-2.7014492753623163,-1.1079812206572797,230,284
