n_trials,f_stimsens,f_impulsive,dwell_stimsens,dwell_impulsive,switch_rate,recovery,persistence,subject,region,sid,d_prime
515,0.570873786407767,0.31650485436893205,19.6,18.11111111111111,0.05642023346303502,0.05521472392638037,0.9522184300341296,BG_046,DMS,09092025,1.706762821382085
435,0.11724137931034483,0.0,,,0.009216589861751152,,0.9607843137254902,BG_046,DMS,10072025,
542,0.36900369003690037,0.16974169741697417,14.285714285714286,15.333333333333334,0.053604436229205174,0.06521739130434782,0.93,BG_046,DMS,10092025,1.3132829400332435
463,0.7408207343412527,0.21814254859611232,16.333333333333332,6.733333333333333,0.08658008658008658,0.1485148514851485,0.9415204678362573,BG_046,DMS,11092025,1.56158920566883
455,0.35384615384615387,0.35824175824175825,5.75,9.588235294117647,0.1343612334801762,0.09202453987730061,0.8260869565217391,BG_046,DMS,12082025,1.1937676503913437
410,0.824390243902439,0.05121951219512195,30.727272727272727,7.0,0.0488997555012225,0.14285714285714285,0.9703264094955489,BG_046,DMS,12092025,1.7189628495584974
483,0.15320910973084886,0.35403726708074534,6.7272727272727275,11.4,0.08091286307053942,0.04093567251461988,0.8513513513513513,BG_046,DMS,13082025,0.8556917094443589
619,0.1260096930533118,0.011308562197092083,8.666666666666666,,0.030744336569579287,,0.8846153846153846,BG_046,DMS,14072025,
956,0.11401673640167365,0.805439330543933,4.36,40.526315789473685,0.05863874345549738,0.01948051948051948,0.7777777777777778,BG_046,DMS,14082025,1.0838653101587643
411,0.0,0.0,,,0.0,,,BG_046,DMS,15072025,
628,0.35987261146496813,0.6178343949044586,7.793103448275862,13.857142857142858,0.09250398724082935,0.07216494845360824,0.8716814159292036,BG_046,DMS,15082025,1.397777347845332
576,0.5677083333333334,0.4236111111111111,20.4375,15.25,0.05565217391304348,0.06557377049180328,0.9539877300613497,BG_046,DMS,15092025,1.6809203734484752
380,0.6263157894736842,0.3447368421052632,11.9,7.705882352941177,0.10026385224274406,0.1297709923664122,0.919831223628692,BG_046,DMS,16092025,1.933496543649807
606,0.5973597359735974,0.40264026402640263,25.857142857142858,17.428571428571427,0.04462809917355372,0.05737704918032787,0.96398891966759,BG_046,DMS,17092025,1.6947287762667451
406,0.24630541871921183,0.7536945812807881,8.333333333333334,25.5,0.056790123456790124,0.0392156862745098,0.8888888888888888,BG_046,DMS,18082025,1.6576394584761402
454,0.6519823788546255,0.34801762114537443,21.142857142857142,11.285714285714286,0.059602649006622516,0.08860759493670886,0.9559322033898305,BG_046,DMS,19082025,1.5494934835241656
379,0.6385224274406333,0.2849604221635884,12.736842105263158,6.75,0.09788359788359788,0.14814814814814814,0.9253112033195021,BG_046,DMS,20082025,1.5499695066718229
369,0.3116531165311653,0.6802168021680217,9.583333333333334,22.818181818181817,0.06521739130434782,0.043824701195219126,0.8956521739130435,BG_046,DMS,21072025,0.9434275404128688
268,0.44029850746268656,0.029850746268656716,14.75,,0.0599250936329588,,0.9322033898305084,BG_046,DMS,22072025,
183,0.12021857923497267,0.6666666666666666,5.5,,0.04395604395604396,0.01639344262295082,0.8181818181818182,BG_046,DMS,24072025,0.955324704625698
617,0.03889789303079417,0.9497568881685575,4.0,97.66666666666667,0.01948051948051948,0.008532423208191127,0.782608695652174,BG_046,DMS,25062025,0.9779064183761476
512,0.53125,0.125,7.771428571428571,4.571428571428571,0.136986301369863,0.21875,0.8713235294117647,BG_046,DMS,25072025,1.4195384713076742
