panel,region,row_id,decile_median_width,onset_s,n_units
g,pooled,292,,-1.9875,1
g,pooled,293,,-1.9875,1
g,pooled,294,,-1.9875,1
g,pooled,295,,-1.9875,1
g,pooled,296,,-1.9875,1
g,pooled,297,,-1.9875,1
g,pooled,298,,-1.9875,1
g,pooled,299,,-1.9875,1
g,pooled,300,,-1.9875,1
g,pooled,301,,-1.9875,1
g,pooled,302,,-1.9875,1
g,pooled,303,,-1.9875,1
g,pooled,304,,-1.9875,1
g,pooled,305,,-1.9875,1
g,pooled,306,,-1.9875,1
g,pooled,307,,-1.9875,1
g,pooled,308,,-1.9875,1
g,pooled,309,,-1.9875,1
g,pooled,310,,-1.9875,1
g,pooled,311,,-1.9875,1
g,pooled,312,,-1.9875,1
g,pooled,313,,-1.9875,1
g,pooled,314,,-1.9875,1
g,pooled,315,,-1.9875,1
g,pooled,316,,-1.9875,1
g,pooled,317,,-1.9875,1
g,pooled,318,,-1.9875,1
g,pooled,319,,-1.9875,1
g,pooled,320,,-1.9875,1
g,pooled,321,,-1.9875,1
g,pooled,322,,-1.9875,1
g,pooled,323,,-1.9875,1
g,pooled,324,,-1.9875,1
g,pooled,325,,-1.9875,1
g,pooled,326,,-1.9875,1
g,pooled,327,,-1.9875,1
g,pooled,328,,-1.9875,1
g,pooled,329,,-1.9875,1
g,pooled,330,,-1.9875,1
g,pooled,331,,-1.9875,1
g,pooled,332,,-1.9875,1
g,pooled,333,,-1.9875,1
g,pooled,334,,-1.9875,1
g,pooled,335,,-1.9875,1
g,pooled,336,,-1.9875,1
g,pooled,337,,-1.9875,1
g,pooled,338,,-1.9875,1
g,pooled,339,,-1.9875,1
g,pooled,340,,-1.9875,1
g,pooled,341,,-1.9875,1
g,pooled,342,,-1.9875,1
g,pooled,343,,-1.9875,1
g,pooled,344,,-1.9875,1
g,pooled,345,,-1.9875,1
g,pooled,346,,-1.9875,1
g,pooled,347,,-1.9875,1
g,pooled,348,,-1.9875,1
g,pooled,349,,-1.9875,1
g,pooled,350,,-1.9875,1
g,pooled,351,,-1.9875,1
g,pooled,352,,-1.9875,1
g,pooled,353,,-1.9875,1
g,pooled,354,,-1.9875,1
g,pooled,355,,-1.9875,1
g,pooled,356,,-1.9875,1
g,pooled,357,,-1.9875,1
g,pooled,358,,-1.9875,1
g,pooled,359,,-1.9875,1
g,pooled,360,,-1.9875,1
g,pooled,361,,-1.9875,1
g,pooled,362,,-1.9875,1
g,pooled,363,,-1.9875,1
g,pooled,364,,-1.9875,1
g,pooled,365,,-1.9875,1
g,pooled,366,,-1.9875,1
g,pooled,367,,-1.9875,1
g,pooled,368,,-1.9875,1
g,pooled,369,,-1.9875,1
g,pooled,370,,-1.9875,1
g,pooled,371,,-1.9875,1
g,pooled,372,,-1.9875,1
g,pooled,373,,-1.9875,1
g,pooled,374,,-1.9875,1
g,pooled,375,,-1.9875,1
g,pooled,376,,-1.9875,1
g,pooled,377,,-1.9875,1
g,pooled,378,,-1.9875,1
g,pooled,379,,-1.9875,1
g,pooled,380,,-1.9875,1
g,pooled,381,,-1.9875,1
g,pooled,382,,-1.9875,1
g,pooled,383,,-1.9875,1
g,pooled,384,,-1.9875,1
g,pooled,385,,-1.9875,1
g,pooled,386,,-1.9875,1
g,pooled,387,,-1.9875,1
g,pooled,388,,-1.9875,1
g,pooled,389,,-1.9875,1
g,pooled,390,,-1.9875,1
g,pooled,391,,-1.9875,1
g,pooled,392,,-1.9875,1
g,pooled,393,,-1.9875,1
g,pooled,394,,-1.9875,1
g,pooled,395,,-1.9875,1
g,pooled,396,,-1.9875,1
g,pooled,397,,-1.9875,1
g,pooled,398,,-1.9875,1
g,pooled,399,,-1.9875,1
g,pooled,400,,-1.9875,1
g,pooled,401,,-1.9875,1
g,pooled,402,,-1.9875,1
g,pooled,403,,-1.9875,1
g,pooled,404,,-1.9875,1
g,pooled,405,,-1.9875,1
g,pooled,406,,-1.9875,1
g,pooled,407,,-1.9875,1
g,pooled,408,,-1.9875,1
g,pooled,409,,-1.9875,1
g,pooled,410,,-1.9875,1
g,pooled,411,,-1.9875,1
g,pooled,412,,-1.9875,1
g,pooled,413,,-1.9875,1
g,pooled,414,,-1.9875,1
g,pooled,415,,-1.9875,1
g,pooled,416,,-1.9875,1
g,pooled,417,,-1.9875,1
g,pooled,418,,-1.9875,1
g,pooled,419,,-1.9875,1
g,pooled,420,,-1.9875,1
g,pooled,421,,-1.9875,1
g,pooled,422,,-1.9875,1
g,pooled,423,,-1.9875,1
g,pooled,424,,-1.9875,1
g,pooled,425,,-1.9875,1
g,pooled,426,,-1.9875,1
g,pooled,427,,-1.9875,1
g,pooled,428,,-1.9875,1
g,pooled,429,,-1.9875,1
g,pooled,430,,-1.9875,1
g,pooled,431,,-1.9875,1
g,pooled,432,,-1.9875,1
g,pooled,433,,-1.9875,1
g,pooled,434,,-1.9875,1
g,pooled,435,,-1.9875,1
g,pooled,436,,-1.9875,1
g,pooled,437,,-1.9875,1
g,pooled,438,,-1.9875,1
g,pooled,439,,-1.9875,1
g,pooled,440,,-1.9875,1
g,pooled,441,,-1.9875,1
g,pooled,442,,-1.9875,1
g,pooled,443,,-1.9875,1
g,pooled,444,,-1.9875,1
g,pooled,445,,-1.9875,1
g,pooled,446,,-1.9875,1
g,pooled,447,,-1.9875,1
g,pooled,448,,-1.9875,1
g,pooled,449,,-1.9875,1
g,pooled,450,,-1.9875,1
g,pooled,451,,-1.9875,1
g,pooled,452,,-1.9875,1
g,pooled,453,,-1.9875,1
g,pooled,454,,-1.9875,1
g,pooled,455,,-1.9875,1
g,pooled,456,,-1.9875,1
g,pooled,457,,-1.9875,1
g,pooled,458,,-1.9875,1
g,pooled,459,,-1.9875,1
g,pooled,460,,-1.9875,1
g,pooled,461,,-1.9875,1
g,pooled,462,,-1.9875,1
g,pooled,463,,-1.9875,1
g,pooled,464,,-1.9875,1
g,pooled,465,,-1.9875,1
g,pooled,466,,-1.9875,1
g,pooled,467,,-1.9875,1
g,pooled,468,,-1.9875,1
g,pooled,469,,-1.9875,1
g,pooled,470,,-1.9875,1
g,pooled,471,,-1.9875,1
g,pooled,472,,-1.9875,1
g,pooled,473,,-1.9875,1
g,pooled,474,,-1.9875,1
g,pooled,475,,-1.9875,1
g,pooled,476,,-1.9875,1
g,pooled,477,,-1.9875,1
g,pooled,478,,-1.9875,1
g,pooled,479,,-1.9875,1
g,pooled,480,,-1.9875,1
g,pooled,481,,-1.9875,1
g,pooled,482,,-1.9875,1
g,pooled,483,,-1.9875,1
g,pooled,484,,-1.9875,1
g,pooled,485,,-1.9875,1
g,pooled,486,,-1.9875,1
g,pooled,487,,-1.9875,1
g,pooled,488,,-1.9875,1
g,pooled,489,,-1.9875,1
g,pooled,490,,-1.9875,1
g,pooled,491,,-1.9875,1
g,pooled,492,,-1.9875,1
g,pooled,493,,-1.9875,1
g,pooled,494,,-1.9875,1
g,pooled,495,,-1.9875,1
g,pooled,496,,-1.9875,1
g,pooled,497,,-1.9875,1
g,pooled,498,,-1.9875,1
g,pooled,499,,-1.9875,1
g,pooled,500,,-1.9875,1
g,pooled,501,,-1.9875,1
g,pooled,502,,-1.9875,1
g,pooled,503,,-1.9875,1
g,pooled,504,,-1.9875,1
g,pooled,505,,-1.9875,1
g,pooled,506,,-1.9875,1
g,pooled,507,,-1.9875,1
g,pooled,508,,-1.9875,1
g,pooled,509,,-1.9875,1
g,pooled,510,,-1.9875,1
g,pooled,511,,-1.9875,1
g,pooled,512,,-1.9875,1
g,pooled,513,,-1.9875,1
g,pooled,514,,-1.9875,1
g,pooled,515,,-1.9875,1
g,pooled,516,,-1.9875,1
g,pooled,517,,-1.9875,1
g,pooled,518,,-1.9875,1
g,pooled,519,,-1.9875,1
g,pooled,520,,-1.9875,1
g,pooled,521,,-1.9875,1
g,pooled,522,,-1.9875,1
g,pooled,523,,-1.9875,1
g,pooled,524,,-1.9875,1
g,pooled,525,,-1.9875,1
g,pooled,526,,-1.9875,1
g,pooled,527,,-1.9875,1
g,pooled,528,,-1.9875,1
g,pooled,529,,-1.9875,1
g,pooled,530,,-1.9875,1
g,pooled,531,,-1.9875,1
g,pooled,532,,-1.9875,1
g,pooled,533,,-1.9875,1
g,pooled,534,,-1.9875,1
g,pooled,535,,-1.9875,1
g,pooled,536,,-1.9875,1
g,pooled,537,,-1.9875,1
g,pooled,538,,-1.9875,1
g,pooled,539,,-1.9875,1
g,pooled,540,,-1.9875,1
g,pooled,541,,-1.9875,1
g,pooled,542,,-1.9875,1
g,pooled,543,,-1.9875,1
g,pooled,544,,-1.9875,1
g,pooled,545,,-1.9875,1
g,pooled,546,,-1.9875,1
g,pooled,547,,-1.9875,1
g,pooled,548,,-1.9875,1
g,pooled,549,,-1.9875,1
g,pooled,550,,-1.9875,1
g,pooled,551,,-1.9875,1
g,pooled,552,,-1.9875,1
g,pooled,553,,-1.9875,1
g,pooled,554,,-1.9875,1
g,pooled,555,,-1.9875,1
g,pooled,556,,-1.9875,1
g,pooled,557,,-1.9875,1
g,pooled,558,,-1.9875,1
g,pooled,559,,-1.9875,1
g,pooled,560,,-1.9875,1
g,pooled,561,,-1.9875,1
g,pooled,562,,-1.9875,1
g,pooled,563,,-1.9875,1
g,pooled,564,,-1.9875,1
g,pooled,565,,-1.9875,1
g,pooled,566,,-1.9875,1
g,pooled,567,,-1.9875,1
g,pooled,568,,-1.9875,1
g,pooled,569,,-1.9875,1
g,pooled,570,,-1.9875,1
g,pooled,571,,-1.9875,1
g,pooled,572,,-1.9875,1
g,pooled,573,,-1.9875,1
g,pooled,574,,-1.9875,1
g,pooled,575,,-1.9875,1
g,pooled,576,,-1.9875,1
g,pooled,577,,-1.9875,1
g,pooled,578,,-1.9875,1
g,pooled,579,,-1.9875,1
g,pooled,580,,-1.9875,1
g,pooled,581,,-1.9875,1
g,pooled,582,,-1.9875,1
g,pooled,583,,-1.9875,1
g,pooled,584,,-1.9875,1
g,pooled,585,,-1.9875,1
g,pooled,586,,-1.9875,1
g,pooled,587,,-1.9875,1
g,pooled,588,,-1.9875,1
g,pooled,589,,-1.9875,1
g,pooled,590,,-1.9875,1
g,pooled,591,,-1.9875,1
g,pooled,592,,-1.9875,1
g,pooled,593,,-1.9875,1
g,pooled,594,,-1.9875,1
g,pooled,595,,-1.9875,1
g,pooled,596,,-1.9875,1
g,pooled,597,,-1.9875,1
g,pooled,598,,-1.9875,1
g,pooled,599,,-1.9875,1
g,pooled,600,,-1.9875,1
g,pooled,601,,-1.9875,1
g,pooled,602,,-1.9875,1
g,pooled,603,,-1.9875,1
g,pooled,604,,-1.9875,1
g,pooled,605,,-1.9875,1
g,pooled,606,,-1.9875,1
g,pooled,607,,-1.9875,1
g,pooled,608,,-1.9875,1
g,pooled,609,,-1.9875,1
g,pooled,610,,-1.9875,1
g,pooled,611,,-1.9875,1
g,pooled,612,,-1.9875,1
g,pooled,613,,-1.9875,1
g,pooled,614,,-1.9875,1
g,pooled,615,,-1.9875,1
g,pooled,616,,-1.9875,1
g,pooled,617,,-1.9875,1
g,pooled,618,,-1.9875,1
g,pooled,619,,-1.9875,1
g,pooled,620,,-1.9875,1
g,pooled,621,,-1.9875,1
g,pooled,622,,-1.9875,1
g,pooled,623,,-1.9875,1
g,pooled,624,,-1.9875,1
g,pooled,625,,-1.9875,1
g,pooled,626,,-1.9875,1
g,pooled,627,,-1.9875,1
g,pooled,628,,-1.9875,1
g,pooled,629,,-1.9875,1
g,pooled,630,,-1.9875,1
g,pooled,631,,-1.9875,1
g,pooled,632,,-1.9875,1
g,pooled,633,,-1.9875,1
g,pooled,634,,-1.9875,1
g,pooled,635,,-1.9875,1
g,pooled,636,,-1.9875,1
g,pooled,637,,-1.9875,1
g,pooled,638,,-1.9875,1
g,pooled,639,,-1.9875,1
g,pooled,640,,-1.9875,1
g,pooled,641,,-1.9875,1
g,pooled,642,,-1.9875,1
g,pooled,643,,-1.9875,1
g,pooled,644,,-1.9875,1
g,pooled,645,,-1.9875,1
g,pooled,646,,-1.9875,1
g,pooled,647,,-1.9875,1
g,pooled,648,,-1.9875,1
g,pooled,649,,-1.9875,1
g,pooled,650,,-1.9875,1
g,pooled,651,,-1.9875,1
g,pooled,652,,-1.9875,1
g,pooled,653,,-1.9875,1
g,pooled,654,,-1.9875,1
g,pooled,655,,-1.9875,1
g,pooled,656,,-1.9875,1
g,pooled,657,,-1.9875,1
g,pooled,658,,-1.9875,1
g,pooled,659,,-1.9875,1
g,pooled,660,,-1.9875,1
g,pooled,661,,-1.9875,1
g,pooled,662,,-1.9875,1
g,pooled,663,,-1.9875,1
g,pooled,664,,-1.9875,1
g,pooled,665,,-1.9875,1
g,pooled,666,,-1.9875,1
g,pooled,667,,-1.9875,1
g,pooled,668,,-1.9875,1
g,pooled,669,,-1.9875,1
g,pooled,670,,-1.9875,1
g,pooled,671,,-1.9875,1
g,pooled,672,,-1.9875,1
g,pooled,673,,-1.9875,1
g,pooled,674,,-1.9875,1
g,pooled,675,,-1.9875,1
g,pooled,676,,-1.9875,1
g,pooled,677,,-1.9875,1
g,pooled,678,,-1.9875,1
g,pooled,679,,-1.9875,1
g,pooled,680,,-1.9875,1
g,pooled,681,,-1.9875,1
g,pooled,682,,-1.9875,1
g,pooled,683,,-1.9875,1
g,pooled,684,,-1.9875,1
g,pooled,685,,-1.9875,1
g,pooled,686,,-1.9875,1
g,pooled,687,,-1.9875,1
g,pooled,688,,-1.9875,1
g,pooled,689,,-1.9875,1
g,pooled,690,,-1.9875,1
g,pooled,691,,-1.9875,1
g,pooled,692,,-1.9875,1
g,pooled,693,,-1.9875,1
g,pooled,694,,-1.9875,1
g,pooled,695,,-1.9875,1
g,pooled,696,,-1.9875,1
g,pooled,697,,-1.9875,1
g,pooled,698,,-1.9875,1
g,pooled,699,,-1.9875,1
g,pooled,700,,-1.9875,1
g,pooled,701,,-1.9875,1
g,pooled,702,,-1.9875,1
g,pooled,703,,-1.9875,1
g,pooled,704,,-1.9875,1
g,pooled,705,,-1.9875,1
g,pooled,706,,-1.9875,1
g,pooled,707,,-1.9875,1
g,pooled,708,,-1.9875,1
g,pooled,709,,-1.9875,1
g,pooled,710,,-1.9875,1
g,pooled,711,,-1.9875,1
g,pooled,712,,-1.9875,1
g,pooled,713,,-1.9875,1
g,pooled,714,,-1.9875,1
g,pooled,715,,-1.9875,1
g,pooled,716,,-1.9875,1
g,pooled,717,,-1.9875,1
g,pooled,718,,-1.9875,1
g,pooled,719,,-1.9875,1
g,pooled,720,,-1.9875,1
g,pooled,721,,-1.9875,1
g,pooled,722,,-1.9875,1
g,pooled,723,,-1.9875,1
g,pooled,724,,-1.9875,1
g,pooled,725,,-1.9875,1
g,pooled,726,,-1.9875,1
g,pooled,727,,-1.9875,1
g,pooled,728,,-1.9875,1
g,pooled,729,,-1.9875,1
g,pooled,730,,-1.9875,1
g,pooled,731,,-1.9875,1
g,pooled,732,,-1.9875,1
g,pooled,733,,-1.9875,1
g,pooled,734,,-1.9875,1
g,pooled,735,,-1.9875,1
g,pooled,736,,-1.9875,1
g,pooled,737,,-1.9875,1
g,pooled,738,,-1.9875,1
g,pooled,739,,-1.9875,1
g,pooled,740,,-1.9875,1
g,pooled,741,,-1.9875,1
g,pooled,742,,-1.9875,1
g,pooled,743,,-1.9875,1
g,pooled,744,,-1.9875,1
g,pooled,745,,-1.9875,1
g,pooled,746,,-1.9875,1
g,pooled,747,,-1.9875,1
g,pooled,748,,-1.9875,1
g,pooled,749,,-1.9875,1
g,pooled,750,,-1.9875,1
g,pooled,751,,-1.9875,1
g,pooled,752,,-1.9875,1
g,pooled,753,,-1.9875,1
g,pooled,754,,-1.9875,1
g,pooled,755,,-1.9875,1
g,pooled,756,,-1.9875,1
g,pooled,757,,-1.9875,1
g,pooled,758,,-1.9875,1
g,pooled,759,,-1.9875,1
g,pooled,760,,-1.9875,1
g,pooled,761,,-1.9875,1
g,pooled,762,,-1.9875,1
g,pooled,763,,-1.9875,1
g,pooled,764,,-1.9875,1
g,pooled,765,,-1.9875,1
g,pooled,766,,-1.9875,1
g,pooled,767,,-1.9875,1
g,pooled,768,,-1.9875,1
g,pooled,769,,-1.9875,1
g,pooled,770,,-1.9875,1
g,pooled,771,,-1.9875,1
g,pooled,772,,-1.9875,1
g,pooled,773,,-1.9875,1
g,pooled,774,,-1.9875,1
g,pooled,775,,-1.9875,1
g,pooled,776,,-1.9875,1
g,pooled,777,,-1.9875,1
g,pooled,778,,-1.9875,1
g,pooled,779,,-1.9875,1
g,pooled,780,,-1.9875,1
g,pooled,781,,-1.9875,1
g,pooled,782,,-1.9875,1
g,pooled,783,,-1.9875,1
g,pooled,784,,-1.9875,1
g,pooled,785,,-1.9875,1
g,pooled,786,,-1.9875,1
g,pooled,787,,-1.9875,1
g,pooled,788,,-1.9875,1
g,pooled,789,,-1.9875,1
g,pooled,790,,-1.9875,1
g,pooled,791,,-1.9875,1
g,pooled,792,,-1.9875,1
g,pooled,793,,-1.9875,1
g,pooled,794,,-1.9875,1
g,pooled,795,,-1.9875,1
g,pooled,796,,-1.9875,1
g,pooled,797,,-1.9875,1
g,pooled,798,,-1.9875,1
g,pooled,799,,-1.9875,1
g,pooled,800,,-1.9875,1
g,pooled,801,,-1.9875,1
