file,n_rows,domains,joinable_to_manifest,rows_lost_on_join
data\cache\state_tags\BG_038\09062025.csv,532,{'8digit': 532},True,532
data\cache\state_tags\BG_038\09072025.csv,474,{'8digit': 474},True,0
data\cache\state_tags\BG_038\10072025.csv,280,{'8digit': 280},True,0
data\cache\state_tags\BG_038\11062025.csv,602,{'8digit': 602},True,602
data\cache\state_tags\BG_038\11082025.csv,564,{'8digit': 564},True,564
data\cache\state_tags\BG_038\12082025.csv,653,{'8digit': 653},True,0
data\cache\state_tags\BG_038\13062025.csv,617,{'8digit': 617},True,617
data\cache\state_tags\BG_038\14052025.csv,382,{'8digit': 382},True,382
data\cache\state_tags\BG_038\15042025.csv,563,{'8digit': 563},True,563
data\cache\state_tags\BG_038\15072025.csv,511,{'8digit': 511},True,0
data\cache\state_tags\BG_038\15082025.csv,630,{'8digit': 630},True,0
data\cache\state_tags\BG_038\16052025.csv,399,{'8digit': 399},True,399
data\cache\state_tags\BG_038\17062025.csv,532,{'8digit': 532},True,532
data\cache\state_tags\BG_038\18082025.csv,563,{'8digit': 563},True,0
data\cache\state_tags\BG_038\19062025.csv,609,{'8digit': 609},True,609
data\cache\state_tags\BG_038\19082025.csv,520,{'8digit': 520},True,0
data\cache\state_tags\BG_038\20082025.csv,567,{'8digit': 567},True,0
data\cache\state_tags\BG_038\21072025.csv,804,{'8digit': 804},True,0
data\cache\state_tags\BG_038\22072025.csv,498,{'8digit': 498},True,0
data\cache\state_tags\BG_038\22082025.csv,575,{'8digit': 575},True,575
data\cache\state_tags\BG_038\23042025.csv,488,{'8digit': 488},True,488
data\cache\state_tags\BG_038\23062025.csv,527,{'8digit': 527},True,0
data\cache\state_tags\BG_038\24072025.csv,611,{'8digit': 611},True,0
data\cache\state_tags\BG_038\25042025.csv,518,{'8digit': 518},True,518
data\cache\state_tags\BG_038\25072025.csv,564,{'8digit': 564},True,0
data\cache\state_tags\BG_038\25082025.csv,487,{'8digit': 487},True,487
data\cache\state_tags\BG_038\270325.csv,897,{'6digit': 897},True,897
data\cache\state_tags\BG_038\27082025.csv,530,{'8digit': 530},True,0
data\cache\state_tags\BG_038\28072025.csv,538,{'8digit': 538},True,0
data\cache\state_tags\BG_038\29042025.csv,683,{'8digit': 683},True,683
data\cache\state_tags\BG_038\29052025.csv,541,{'8digit': 541},True,541
data\cache\state_tags\BG_039\01042025.csv,755,{'8digit': 755},True,755
data\cache\state_tags\BG_039\01052025.csv,523,{'8digit': 523},True,523
data\cache\state_tags\BG_039\02042025.csv,770,{'8digit': 770},True,770
data\cache\state_tags\BG_039\02062025.csv,487,{'8digit': 487},True,487
data\cache\state_tags\BG_039\03062025.csv,510,{'8digit': 510},True,510
data\cache\state_tags\BG_039\06052025.csv,461,{'8digit': 461},True,461
data\cache\state_tags\BG_039\08042025.csv,532,{'8digit': 532},True,532
data\cache\state_tags\BG_039\08052025.csv,588,{'8digit': 588},True,588
data\cache\state_tags\BG_039\09042025.csv,397,{'8digit': 397},True,397
data\cache\state_tags\BG_039\09062025.csv,493,{'8digit': 493},True,493
data\cache\state_tags\BG_039\10042025.csv,374,{'8digit': 374},True,374
data\cache\state_tags\BG_039\10062025.csv,453,{'8digit': 453},True,453
data\cache\state_tags\BG_039\11062025.csv,516,{'8digit': 516},True,516
data\cache\state_tags\BG_039\12052025.csv,515,{'8digit': 515},True,515
data\cache\state_tags\BG_039\12062025.csv,473,{'8digit': 473},True,473
data\cache\state_tags\BG_039\13062025.csv,540,{'8digit': 540},True,540
